Category,language_code,ISO_639,Num_Words,Num_Sources,Num_Sections,Num_Images,Page_Views,Edits_30_Days,Num_Links_to_Wikipedia,URL,Original_Topic,date,language
Biodiversity Conservation,ar,arq,59,2,1,5,14,0,5,https://ar.wikipedia.org/wiki/%D8%AD%D9%8A%D9%88%D8%A7%D9%86_%D8%A7%D8%B3%D8%AA%D8%B4%D8%B9%D8%A7%D8%B1,Sentinel_species,12/8/2016,Arabic
Public Health,ar,arq,279,1,2,17,59,0,33,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A7%D8%AA%D9%81%D8%A7%D9%82%D9%8A%D8%A9_%D8%A7%D9%84%D9%88%D8%AD%D9%8A%D8%AF%D8%A9_%D9%84%D9%84%D9%85%D8%AE%D8%AF%D8%B1%D8%A7%D8%AA,Single_Convention_on_Narcotic_Drugs,10/4/2015,Arabic
Public Health,ar,arq,532,14,4,3,23,0,12,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D8%B9%D8%A7%D9%8A%D8%A9_%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D8%A9_%D8%A3%D8%AD%D8%A7%D8%AF%D9%8A%D8%A9_%D8%A7%D9%84%D8%AF%D8%A7%D9%81%D8%B9,Single-payer_healthcare,24/12/2019,Arabic
Public Health,ar,arq,986,22,6,3,16,0,21,https://ar.wikipedia.org/wiki/%D9%84%D8%AC%D9%86%D8%A9_%D9%85%D8%B1%D8%B6_%D8%A7%D9%84%D9%86%D9%88%D9%85,Sleeping_Sickness_Commission,31/10/2022,Arabic
Public Health,ar,arq,4664,77,15,8,446,0,201,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D8%AF%D8%AF%D8%A7%D8%AA_%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A%D8%A9_%D9%84%D9%84%D8%B5%D8%AD%D8%A9,Social_determinants_of_health,7/6/2011,Arabic
Public Health,ar,arq,178,2,3,6,24,0,57,https://ar.wikipedia.org/wiki/%D8%B7%D8%A8_%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A,Social_medicine,4/10/2010,Arabic
Biodiversity Conservation,ar,arq,1307,15,9,5,21,0,8,https://ar.wikipedia.org/wiki/%D8%AA%D9%86%D9%88%D8%B9_%D8%AD%D9%8A%D9%88%D9%8A_%D9%84%D9%84%D8%AA%D8%B1%D8%A8%D8%A9,Soil_biodiversity,11/11/2019,Arabic
Biodiversity Conservation,ar,arq,36,2,1,16,18,0,181,https://ar.wikipedia.org/wiki/%D8%AD%D9%81%D8%B8_%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9,Soil_conservation,13/6/2008,Arabic
Public Health,ar,arq,765,28,4,5,21,0,37,https://ar.wikipedia.org/wiki/%D8%B6%D8%B1%D9%8A%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA_%D8%A7%D9%84%D8%B3%D9%83%D8%B1%D9%8A%D8%A9,Sugary_drink_tax,29/10/2022,Arabic
Biodiversity Conservation,ar,arq,179,1,1,4,16,1,12,https://ar.wikipedia.org/wiki/%D8%B9%D8%A7%D8%A6%D8%AF_%D9%85%D8%B3%D8%AA%D8%AF%D8%A7%D9%85,Sustainable_yield,7/7/2019,Arabic
Biodiversity Conservation,ar,arq,97,0,1,9,8,0,6,https://ar.wikipedia.org/wiki/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%86%D8%B8%D9%85_%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D9%8A%D8%A9_%D9%88%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D9%8A,The_Economics_of_Ecosystems_and_Biodiversity,4/1/2018,Arabic
Climate Change,ar,arq,1156,19,8,14,13,0,172,https://ar.wikipedia.org/wiki/%D9%85%D8%AF%D9%86_%D8%A7%D9%84%D8%AA%D8%AD%D9%88%D9%84,Transition_town,1/10/2013,Arabic
Public Health,ar,arq,1198,17,4,5,13,2,52,https://ar.wikipedia.org/wiki/%D9%88%D8%B3%D8%A7%D8%A6%D9%84_%D8%A7%D9%84%D9%86%D9%82%D9%84_%D9%88%D8%A7%D9%84%D8%B5%D8%AD%D8%A9,Transportation_and_health,28/11/2020,Arabic
Public Health,ar,arq,293,12,5,11,185,0,22,https://ar.wikipedia.org/wiki/%D9%86%D9%85%D9%88%D8%B0%D8%AC_%D9%86%D8%B8%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1,Transtheoretical_model,23/4/2016,Arabic
Biodiversity Conservation,ar,arq,229,3,3,8,316,0,41,https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%A8%D8%A9_%D8%A7%D8%B3%D8%AA%D9%88%D8%A7%D8%A6%D9%8A%D8%A9,Tropical_forest,27/7/2010,Arabic
Public Health,ar,arq,2410,44,12,12,158,0,100,https://ar.wikipedia.org/wiki/%D8%B1%D8%B9%D8%A7%D9%8A%D8%A9_%D8%B5%D8%AD%D9%8A%D8%A9_%D8%B4%D8%A7%D9%85%D9%84%D8%A9,Universal_health_care,25/12/2019,Arabic
Biodiversity Conservation,ar,arq,1294,0,8,6,13,0,28,https://ar.wikipedia.org/wiki/%D8%AF%D9%85%D8%AC_%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9,Urban_nature,23/6/2013,Arabic
Public Health,ar,arq,597,18,4,3,10,0,28,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%88%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D9%84%D9%82%D9%8A%D8%AD,Vaccine_equity,12/1/2022,Arabic
Public Health,ar,arq,969,16,10,5,362,0,29,https://ar.wikipedia.org/wiki/%D8%AA%D8%AE%D8%B2%D9%8A%D9%86_%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD,Vaccine_storage,2/1/2023,Arabic
Public Health,ar,arq,674,11,2,5,15,0,19,https://ar.wikipedia.org/wiki/%D8%AA%D8%B4%D8%B1%D9%8A%D8%AD_%D8%A7%D9%84%D8%AC%D8%AB%D8%A9_%D8%A7%D9%84%D9%84%D9%81%D8%B8%D9%8A,Verbal_autopsy,2/1/2022,Arabic
Public Health,ar,arq,64,1,5,10,16,0,47,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9_%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9,Veterinary_public_health,26/3/2018,Arabic
Biodiversity Conservation,ar,arq,75,1,1,9,274,0,30,https://ar.wikipedia.org/wiki/%D9%86%D9%88%D8%B9_%D9%85%D9%87%D8%AF%D8%AF_%D8%A8%D8%AE%D8%B7%D8%B1_%D8%A7%D9%86%D9%82%D8%B1%D8%A7%D8%B6_%D8%A3%D8%AF%D9%86%D9%89,Vulnerable_species,3/7/2008,Arabic
Biodiversity Conservation,ar,arq,3010,1,1,7,31,0,6,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9_%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D8%A9,Wildlife_corridor,8/6/2017,Arabic
Biodiversity Conservation,ar,arq,996,19,4,4,16,0,27,https://ar.wikipedia.org/wiki/%D8%B2%D8%AD%D9%81_%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA%D8%A7%D8%AA_%D8%A7%D9%84%D8%AE%D8%B4%D8%A8%D9%8A%D8%A9,Woody_plant_encroachment,31/10/2022,Arabic
Public Health,ar,arq,180,4,4,12,26,0,21,https://ar.wikipedia.org/wiki/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9_%D8%A7%D9%84%D8%B5%D8%AD%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9,World_Health_Assembly,5/11/2020,Arabic
Public Health,ar,arq,1263,49,15,91,NA,1,517,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%B8%D9%85%D8%A9_%D8%A7%D9%84%D8%B5%D8%AD%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9,World_Health_Organization,18/10/2005,Arabic
Biodiversity Conservation,ar,arq,233,6,4,5,21,0,18,https://ar.wikipedia.org/wiki/%D8%B4%D8%A8%D9%83%D8%A9_%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%B3%D9%83%D9%88_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9_%D9%84%D9%85%D8%AD%D9%85%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%85%D8%AD%D9%8A%D8%B7_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A,World_Network_of_Biosphere_Reserves,2/6/2009,Arabic
Climate Change,ary,ary,311,12,1,3,37,0,10,https://ary.wikipedia.org/wiki/%D8%AA%D8%A8%D8%AF%D8%A7%D9%84_%D8%AF_%D9%84%D9%85%D9%86%D8%A7%D8%AE,Climate_change,19/4/2024,Moroccan Arabic
Public Health,ary,ary,1309,16,5,4,51,0,9,https://ary.wikipedia.org/wiki/%D9%83%D9%88%DA%A4%D9%8A%D8%AF-19,COVID-19,25/9/2020,Moroccan Arabic
Climate Change,arz,arz,54,1,2,3,36,0,7,https://arz.wikipedia.org/wiki/%D8%AF%D9%81%D8%A7_%D9%83%D9%88%D9%83%D8%A8%D9%89,Climate_change,7/11/2009,Egyptian Arabic
Public Health,arz,arz,995,80,13,29,122,0,73,https://arz.wikipedia.org/wiki/%D9%83%D9%88%DA%A4%D9%8A%D8%AF-19,COVID-19,13/3/2020,Egyptian Arabic
Biodiversity Conservation,arz,arz,155,3,2,11,57,0,12,https://arz.wikipedia.org/wiki/%D8%A3%D9%86%D9%88%D8%A7%D8%B9_%D9%85%D9%87%D8%AF%D8%AF%D8%A9_%D8%A8%D8%A7%D9%84%D8%A7%D9%86%D9%82%D8%B1%D8%A7%D8%B6,Endangered_species,8/12/2021,Egyptian Arabic
Biodiversity Conservation,arz,arz,109,1,1,1,26,0,7,https://arz.wikipedia.org/wiki/%D8%A7%D9%86%D9%82%D8%B1%D8%A7%D8%B6,Extinction,13/6/2009,Egyptian Arabic
Climate Change,arz,arz,57,1,1,1,9,0,5,https://arz.wikipedia.org/wiki/%D8%B9%D8%AA%D9%85%D9%87_%D9%83%D9%88%D9%83%D8%A8%D9%8A%D9%87,Global_dimming,7/11/2009,Egyptian Arabic
Biodiversity Conservation,arz,arz,411,0,7,7,14,0,17,https://arz.wikipedia.org/wiki/%D8%BA%D8%A7%D8%A8%D9%87_%D9%85%D8%B7%D9%8A%D8%B1%D9%87,Rainforest,12/9/2011,Egyptian Arabic
Public Health,arz,arz,36,15,3,23,101,0,33,https://arz.wikipedia.org/wiki/%D9%85%D9%86%D8%B8%D9%85%D8%A9_%D8%A7%D9%84%D8%B5%D8%AD%D9%87_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9,World_Health_Organization,6/9/2020,Egyptian Arabic
Biodiversity Conservation,as,asm,704,1,4,4,2245,0,30,https://as.wikipedia.org/wiki/%E0%A6%9C%E0%A7%88%E0%A7%B1_%E0%A6%AC%E0%A7%88%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A7%B0%E0%A7%8D%E0%A6%AF,Biodiversity,31/8/2013,Assamese
Climate Change,as,asm,920,4,5,3,2913,0,8,https://as.wikipedia.org/wiki/%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%95%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%89%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A6%A4%E0%A6%BE_%E0%A6%AC%E0%A7%83%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BF,Climate_change,12/11/2014,Assamese
Biodiversity Conservation,as,asm,60,1,1,25,50,0,6,https://as.wikipedia.org/wiki/%E0%A6%B8%E0%A6%82%E0%A7%B0%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%A3_%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BF%E0%A6%A4%E0%A6%BF,Conservation_status,16/8/2015,Assamese
Public Health,as,asm,3421,168,19,16,755,0,38,https://as.wikipedia.org/wiki/%E0%A6%95%E0%A7%B0%27%E0%A6%A8%E0%A6%BE%E0%A6%AD%E0%A6%BE%E0%A6%87%E0%A7%B0%E0%A6%BE%E0%A6%9B_%E0%A7%B0%E0%A7%8B%E0%A6%97_%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AF,COVID-19,16/3/2020,Assamese
Climate Change,as,asm,1435,63,9,6,714,0,6,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A6%B2_%E0%A6%A7%E0%A7%8D%E0%A6%AC%E0%A6%82%E0%A6%B8_%E0%A6%86%E0%A7%B0%E0%A7%81_%E0%A6%9C%E0%A6%B2%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%81_%E0%A6%AA%E0%A7%B0%E0%A6%BF%E0%A7%B1%E0%A7%B0%E0%A7%8D%E0%A6%A4%E0%A6%A8,Deforestation_and_climate_change,5/12/2023,Assamese
Biodiversity Conservation,as,asm,123,1,6,20,211,0,13,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8_%E0%A6%AA%E0%A7%8D%E0%A7%B0%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF,Endangered_species,14/8/2015,Assamese
Biodiversity Conservation,as,asm,149,1,2,0,27,0,4,https://as.wikipedia.org/wiki/%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95_%E0%A6%9C%E0%A7%88%E0%A7%B1_%E0%A6%AC%E0%A7%88%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A7%B0%E0%A7%8D%E0%A6%AF_%E0%A6%A6%E0%A6%BF%E0%A7%B1%E0%A6%B8,International_Day_for_Biological_Diversity,22/5/2022,Assamese
Biodiversity Conservation,as,asm,196,2,1,1,13,0,5,https://as.wikipedia.org/wiki/%E0%A6%A8%E0%A6%BE%E0%A6%97%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A6%BE_%E0%A6%AA%E0%A7%8D%E0%A7%B0%E0%A6%9F%27%E0%A6%95%E0%A6%B2,Nagoya_Protocol,15/4/2022,Assamese
Biodiversity Conservation,as,asm,163,2,5,1,104,0,15,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A7%B0%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A7%B0%E0%A6%A3%E0%A7%8D%E0%A6%AF,Rainforest,14/3/2015,Assamese
Public Health,as,asm,210,1,2,3,173,0,12,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC_%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF_%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,World_Health_Organization,15/1/2019,Assamese
Biodiversity Conservation,ast,ast,654,0,4,5,15,0,19,https://ast.wikipedia.org/wiki/Agroecolox%C3%ADa,Agroecology,18/2/2009,Asturian
Biodiversity Conservation,ast,ast,835,5,5,5,59,1,23,https://ast.wikipedia.org/wiki/Biodiversid%C3%A1,Biodiversity,28/5/2016,Asturian
Climate Change,ast,ast,7204,243,31,36,94,2,103,https://ast.wikipedia.org/wiki/Calentamientu_global,Climate_change,17/5/2015,Asturian
Biodiversity Conservation,ast,ast,123,0,3,5,32,0,9,https://ast.wikipedia.org/wiki/Est%C3%A1u_de_caltenimientu,Conservation_status,29/4/2006,Asturian
Public Health,ast,ast,249,9,2,12,36,0,39,https://ast.wikipedia.org/wiki/COVID-19,COVID-19,5/3/2020,Asturian
Biodiversity Conservation,ast,ast,450,0,3,7,17,0,25,https://ast.wikipedia.org/wiki/Especie_en_peligru_d%27estinci%C3%B3n,Endangered_species,13/5/2006,Asturian
Biodiversity Conservation,ast,ast,123,1,3,12,29,0,19,https://ast.wikipedia.org/wiki/Endemismu,Endemism,13/5/2012,Asturian
Biodiversity Conservation,ast,ast,3585,55,20,16,45,1,115,https://ast.wikipedia.org/wiki/Estinci%C3%B3n,Extinction,17/8/2017,Asturian
Climate Change,ast,ast,127,0,2,3,12,0,15,https://ast.wikipedia.org/wiki/Modelos_de_circulaci%C3%B3n_xeneral,General_circulation_model,24/2/2018,Asturian
Biodiversity Conservation,ast,ast,239,0,2,14,40,0,19,https://ast.wikipedia.org/wiki/Global_Biodiversity_Information_Facility,Global_Biodiversity_Information_Facility,26/3/2020,Asturian
Public Health,ast,ast,656,8,7,14,32,1,27,https://ast.wikipedia.org/wiki/Asistencia_sanitaria,Health_care,24/2/2018,Asturian
Biodiversity Conservation,ast,ast,179,1,5,4,8,1,31,https://ast.wikipedia.org/wiki/D%C3%ADa_Internacional_de_la_Diversid%C3%A1_Biol%C3%B3xica,International_Day_for_Biological_Diversity,25/6/2015,Asturian
Biodiversity Conservation,ast,ast,156,1,2,17,24,0,25,https://ast.wikipedia.org/wiki/Xuni%C3%B3n_Internacional_pal_Caltenimientu_de_la_Natura,International_Union_for_Conservation_of_Nature,22/6/2015,Asturian
Biodiversity Conservation,ast,ast,1959,9,18,12,22,1,55,https://ast.wikipedia.org/wiki/Especie_invasora,Invasive_species,21/10/2017,Asturian
Biodiversity Conservation,ast,ast,262,0,3,4,12,0,18,https://ast.wikipedia.org/wiki/Recursu_non_anovable,Non-renewable_resource,3/8/2018,Asturian
Biodiversity Conservation,ast,ast,578,9,10,8,29,0,58,https://ast.wikipedia.org/wiki/Sal%C3%BA_p%C3%BAblica,Public_health,24/2/2018,Asturian
Biodiversity Conservation,ast,ast,53,1,4,3,7,0,10,https://ast.wikipedia.org/wiki/Deceniu_de_les_Naciones_Xun%C3%ADes_sobre_la_Biodiversid%C3%A1,United_Nations_Decade_on_Biodiversity,24/6/2015,Asturian
Biodiversity Conservation,ast,ast,120,7,4,7,12,1,16,https://ast.wikipedia.org/wiki/Especie_vulnerable,Vulnerable_species,24/9/2017,Asturian
Public Health,ast,ast,227,1,3,27,46,0,66,https://ast.wikipedia.org/wiki/Organizaci%C3%B3n_Mundial_de_la_Sal%C3%BA,World_Health_Organization,19/5/2007,Asturian
Public Health,atj,atj,571,0,13,2,33,0,9,https://atj.wikipedia.org/wiki/Mantcoc_(Coronavirus_Covid-19),COVID-19,25/7/2020,Atikamekw
Public Health,av,ava,32,4,24,2,46,0,2,https://av.wikipedia.org/wiki/COVID-19,COVID-19,5/1/2021,Avaric
Public Health,awa,awa,305,0,1,1,NA,NA,3,https://awa.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE_%E0%A4%AD%E0%A4%BE%E0%A4%87%E0%A4%B0%E0%A4%B8,COVID-19,5/5/2020,Awadhi
Biodiversity Conservation,ay,ayc,24,0,0,1,14,0,7,https://ay.wikipedia.org/wiki/Munta%C3%B1a_tuqi_suyu,Rainforest,16/1/2008,Aymara
Biodiversity Conservation,az,azb,377,8,3,1,9,0,6,https://az.wikipedia.org/wiki/Aqroekologiya,Agroecology,19/3/2018,Azerbaijani
Biodiversity Conservation,az,azb,240,0,3,9,79,0,152,https://az.wikipedia.org/wiki/Bioloji_m%C3%BCxt%C9%99liflik,Biodiversity,4/2/2009,Azerbaijani
Biodiversity Conservation,az,azb,603,20,10,3,32,0,11,https://az.wikipedia.org/wiki/Biom%C3%BCxt%C9%99lifliyin_azalmas%C4%B1,Biodiversity_loss,30/1/2020,Azerbaijani
Biodiversity Conservation,az,azb,35,1,1,1,56,0,4,https://az.wikipedia.org/wiki/Bufer_zonas%C4%B1,Buffer_zone,27/1/2011,Azerbaijani
Climate Change,az,azb,8033,320,35,49,656,1,150,https://az.wikipedia.org/wiki/%C4%B0qlim_d%C9%99yi%C5%9Fikliyi,Climate_change,24/5/2012,Azerbaijani
Climate Change,az,azb,1408,39,16,0,8,0,19,https://az.wikipedia.org/wiki/%C4%B0qlim_d%C9%99yi%C5%9Fikliyi_il%C9%99_ba%C4%9Fl%C4%B1_m%C9%99hk%C9%99m%C9%99,Climate_change_litigation,6/5/2022,Azerbaijani
Climate Change,az,azb,449,8,11,1,23,0,4,https://az.wikipedia.org/wiki/Geom%C3%BCh%C9%99ndislik,Climate_engineering,14/5/2022,Azerbaijani
Climate Change,az,azb,1522,27,8,5,22,0,68,https://az.wikipedia.org/wiki/M%C3%BChafiz%C9%99_biologiyas%C4%B1,Conservation_biology,20/5/2022,Azerbaijani
Biodiversity Conservation,az,azb,37,0,1,5,9,0,24,https://az.wikipedia.org/wiki/M%C3%BChafiz%C9%99_fotoqrafiyas%C4%B1,Conservation_photography,20/3/2016,Azerbaijani
Biodiversity Conservation,az,azb,37,0,0,26,36,0,5,https://az.wikipedia.org/wiki/M%C3%BChafiz%C9%99_statusu,Conservation_status,30/11/2010,Azerbaijani
Biodiversity Conservation,az,azb,860,3,7,2,40,0,64,https://az.wikipedia.org/wiki/Bioloji_M%C3%BCxt%C9%99liflik_haqq%C4%B1nda_Konvensiya,Convention_on_Biological_Diversity,15/4/2022,Azerbaijani
Public Health,az,azb,126,2,2,1,24,0,7,https://az.wikipedia.org/wiki/Psixotrop_madd%C9%99l%C9%99r_haqq%C4%B1nda_Konvensiya,Convention_on_Psychotropic_Substances,21/4/2021,Azerbaijani
Public Health,az,azb,1125,13,10,5,136,0,21,https://az.wikipedia.org/wiki/Koronavirus_x%C9%99st%C9%99liyi_2019,COVID-19,22/3/2020,Azerbaijani
Biodiversity Conservation,az,azb,1338,0,9,1,182,0,53,https://az.wikipedia.org/wiki/N%C9%99sli_k%C9%99silm%C9%99kd%C9%99_olan_n%C3%B6vl%C9%99r,Endangered_species,1/3/2014,Azerbaijani
Biodiversity Conservation,az,azb,267,2,3,1,68,0,22,https://az.wikipedia.org/wiki/Endemik,Endemism,7/9/2015,Azerbaijani
Public Health,az,azb,172,0,8,0,17,0,15,https://az.wikipedia.org/wiki/Ekoloji_t%C9%99hl%C3%BCk%C9%99,Environmental_hazard,18/7/2017,Azerbaijani
Biodiversity Conservation,az,azb,54,0,1,6,31,0,38,https://az.wikipedia.org/wiki/N%C9%99sil_k%C9%99silm%C9%99si,Extinction,24/5/2007,Azerbaijani
Biodiversity Conservation,az,azb,231,1,2,5,12,0,29,https://az.wikipedia.org/wiki/Qlobal_Biom%C3%BCxt%C9%99liflik_M%C9%99lumat_Mexanizmi,Global_Biodiversity_Information_Facility,18/12/2020,Azerbaijani
Public Health,az,azb,64,0,2,2,114,0,19,https://az.wikipedia.org/wiki/S%C9%99hiyy%C9%99,Health_care,4/9/2010,Azerbaijani
Public Health,az,azb,1534,26,14,0,110,0,45,https://az.wikipedia.org/wiki/Tibbi_s%C4%B1%C4%9Forta,Health_insurance,22/8/2019,Azerbaijani
Public Health,az,azb,362,14,5,2,78,0,14,https://az.wikipedia.org/wiki/K%C3%B6rp%C9%99_%C3%B6l%C3%BCm%C3%BC,Infant_mortality,17/4/2019,Azerbaijani
Biodiversity Conservation,az,azb,1950,2,11,29,69,0,52,https://az.wikipedia.org/wiki/Beyn%C9%99lxalq_T%C9%99bi%C9%99tin_v%C9%99_T%C9%99bii_S%C9%99rv%C9%99tl%C9%99rin_M%C3%BChafiz%C9%99si_Birliyi,International_Union_for_Conservation_of_Nature,17/8/2009,Azerbaijani
Biodiversity Conservation,az,azb,77,0,1,1,11,0,4,https://az.wikipedia.org/wiki/%C4%B0stila%C3%A7%C4%B1_n%C3%B6vl%C9%99r,Invasive_species,28/6/2021,Azerbaijani
Biodiversity Conservation,az,azb,338,0,29,1,420,0,271,https://az.wikipedia.org/wiki/D%C9%99rman_bitkil%C9%99rinin_siyah%C4%B1s%C4%B1,List_of_plants_used_in_herbalism,20/11/2008,Azerbaijani
Biodiversity Conservation,az,azb,87,1,1,2,14,0,13,https://az.wikipedia.org/wiki/%C4%B0nsan_v%C9%99_Biosfer_Proqram%C4%B1,Man_and_the_Biosphere_Programme,21/4/2017,Azerbaijani
Biodiversity Conservation,az,azb,115,3,6,39,17,0,28,https://az.wikipedia.org/wiki/Meqadivers_%C3%B6lk%C9%99l%C9%99ri,Megadiverse_countries,6/6/2021,Azerbaijani
Biodiversity Conservation,az,azb,106,1,1,0,45,0,5,https://az.wikipedia.org/wiki/Sosial_gigiyena_v%C9%99_s%C9%99hiyy%C9%99nin_t%C9%99%C5%9Fkili,Public_health,16/12/2022,Azerbaijani
Biodiversity Conservation,az,azb,384,1,7,4,54,0,20,https://az.wikipedia.org/wiki/R%C3%BCtub%C9%99tli_ekvatorial_me%C5%9F%C9%99l%C9%99r,Rainforest,24/10/2017,Azerbaijani
Public Health,az,azb,224,3,2,0,24,0,9,https://az.wikipedia.org/wiki/Narkotik_madd%C9%99l%C9%99ri_haqq%C4%B1nda_vahid_Konvensiya,Single_Convention_on_Narcotic_Drugs,15/5/2021,Azerbaijani
Public Health,az,azb,172,8,2,4,307,0,30,https://az.wikipedia.org/wiki/%C3%9Cmumd%C3%BCnya_S%C9%99hiyy%C9%99_T%C9%99%C5%9Fkilat%C4%B1,World_Health_Organization,1/5/2008,Azerbaijani
Biodiversity Conservation,az,azb,82,1,2,1,7,0,5,https://az.wikipedia.org/wiki/Biosfer_qoruqlar%C4%B1n%C4%B1n_%C3%BCmumd%C3%BCnya_%C5%9F%C9%99b%C9%99k%C9%99si,World_Network_of_Biosphere_Reserves,2/6/2010,Azerbaijani
Climate Change,azb,azb,100,0,2,18,NA,NA,703,https://azb.wikipedia.org/wiki/%D8%A7%DB%8C%D9%82%D9%84%DB%8C%D9%85_%D8%AF%DB%8C%DB%8C%D8%B4%DB%8C%DA%A9%D9%84%DB%8C%DA%AF%DB%8C,Climate_change,25/7/2022,South Azerbaijani 
Public Health,azb,azb,60,0,1,1,NA,NA,6,https://azb.wikipedia.org/wiki/%DA%A9%D8%B1%D9%88%D9%86%D8%A7_%D9%88%DB%8C%D8%B1%D9%88%D8%B3_%D8%AE%D8%B3%D8%AA%D9%87%E2%80%8C%D9%84%DB%8C%D8%BA%DB%8C_%DB%B2%DB%B0%DB%B1%DB%B9,COVID-19,25/2/2020,South Azerbaijani 
Biodiversity Conservation,azb,azb,94,1,2,7,NA,NA,685,https://azb.wikipedia.org/wiki/%D9%86%D8%B3%D9%84%DB%8C_%DA%A9%D8%B3%DB%8C%D9%84%D9%85%DA%A9%D8%AF%D9%87_%D8%A7%D9%88%D9%84%D8%A7%D9%86_%D9%86%D8%A4%D9%88%D8%B9%D9%84%D8%B1,Endangered_species,20/2/2022,South Azerbaijani 
